Founder_Type,Economic_Climate,Founder_Age,Founder_Experience_Years,Industry,Funding_Stage,Work_Mode,Team_Size,Startup_Age_Months,Weekly_Work_Hours,Sleep_Hours,Exercise_Days_Per_Week,Vacation_Days_Taken,Investor_Pressure_Score,Cofounder_Conflict_Score,Stress_Score,Decision_Fatigue_Score,Burnout_Score,Burnout_Level,Founder_Burnout_Flag,Monthly_Revenue_Growth_Percent,Runway_Months_Remaining,Product_Market_Fit_Score,Employee_Turnover_Percent,Work_Life_Balance_Score,Seeks_Mental_Health_Support,Shutdown_Probability,Shutdown_Risk,Startup_Failure_Flag
Growth Obsessed Founder,Stable Economy,30,2,AI,Bootstrapped,Hybrid,5,45,83.6,4.7,1.4,4.9,3.5,4.7,8.1,7.8,4.8,Moderate,0,36.1,9.7,5.2,38.8,3.2,No,0.515,Medium,0
Visionary CEO,Bull Market,29,1,Gaming,Seed,Hybrid,5,77,48.0,5.5,4.9,25.1,4.6,3.1,1.0,1.0,1.0,Low,0,28.2,1.0,8.8,18.0,9.9,No,0.269,Low,0
Burned-Out Operator,Recession,32,0,SaaS,Series A,Hybrid,70,57,59.0,5.1,5.8,1.9,10.0,0.0,4.7,6.8,3.7,Moderate,0,-13.9,1.0,8.2,24.6,7.0,No,0.385,Medium,0
Visionary CEO,Stable Economy,36,1,Biotech,Series B,Remote,206,141,79.5,5.2,3.9,0.0,8.3,1.3,6.3,7.1,5.8,Moderate,0,1.6,21.8,10.0,42.0,4.6,Yes,0.037,Low,0
Technical Builder,Stable Economy,32,2,SaaS,Pre-Seed,Remote,14,92,51.9,5.6,4.6,11.9,4.6,0.0,1.1,1.0,1.0,Low,0,2.1,6.6,6.1,13.6,8.1,No,0.169,Low,0
Growth Obsessed Founder,Funding Winter,37,2,HealthTech,Seed,Hybrid,8,107,66.3,5.2,2.4,5.8,5.3,2.9,5.9,3.8,3.2,Low,0,38.5,18.7,6.6,56.3,6.1,Yes,0.149,Low,0
Solo Hustler,Funding Winter,23,1,E-commerce,Pre-Seed,Hybrid,10,93,69.2,6.1,4.8,12.1,8.5,4.1,4.3,3.8,2.6,Low,0,27.1,1.0,5.9,27.4,7.3,No,0.857,High,1
Chaotic Innovator,Bull Market,32,3,E-commerce,Series A,Remote,28,35,70.9,5.3,4.2,12.1,6.6,9.2,7.3,6.0,5.6,Moderate,0,13.9,15.3,5.0,69.1,5.2,No,0.472,Medium,0
Solo Hustler,Stable Economy,36,2,FinTech,Pre-Seed,Office,9,42,64.5,5.6,4.4,12.7,6.7,5.2,6.9,7.6,3.5,Low,0,21.8,9.7,2.3,44.3,6.1,No,0.563,Medium,0
Calm Operator,Stable Economy,39,4,ClimateTech,Bootstrapped,Hybrid,7,141,55.3,7.5,6.4,19.8,5.9,1.5,1.0,1.0,1.0,Low,0,-9.1,10.6,4.9,20.4,10.0,No,0.076,Low,0
Visionary CEO,Bull Market,31,3,Biotech,Series B,Hybrid,89,36,71.6,5.6,4.3,0.4,7.4,10.0,8.1,10.0,6.2,Moderate,0,6.3,15.7,5.7,67.2,3.1,No,0.468,Medium,0
Calm Operator,Stable Economy,32,1,SaaS,Bootstrapped,Remote,3,94,43.2,6.6,6.1,15.0,6.1,1.5,1.0,1.0,1.0,Low,0,2.7,16.9,4.3,11.6,10.0,Yes,0.119,Low,0
Calm Operator,Bull Market,32,0,SaaS,Seed,Remote,27,17,41.6,6.6,7.0,22.4,2.2,0.3,1.5,2.3,1.0,Low,0,31.1,19.4,9.7,8.9,10.0,Yes,0.025,Low,0
Serial Entrepreneur,Recession,41,7,EdTech,Series A,Office,47,120,63.3,6.2,4.4,10.6,8.1,6.3,5.7,4.1,2.7,Low,0,-1.5,7.5,5.7,38.4,8.0,No,0.729,High,1
Technical Builder,Stable Economy,21,1,EdTech,Seed,Remote,26,83,52.7,6.3,5.2,7.9,7.8,4.8,3.8,1.6,1.7,Low,0,6.1,6.9,6.4,33.9,9.3,No,0.319,Low,0
Technical Builder,Recession,23,3,ClimateTech,Seed,Office,9,5,54.9,7.1,3.3,7.1,6.7,5.1,3.3,1.8,1.0,Low,0,7.8,8.6,5.9,35.4,9.6,No,0.238,Low,0
Chaotic Innovator,Recession,38,3,HealthTech,Series B,Remote,83,128,44.1,7.1,3.1,8.0,7.2,4.2,2.8,3.4,1.0,Low,0,-11.7,23.3,5.2,19.7,9.7,Yes,0.177,Low,0
Technical Builder,Recession,21,0,HealthTech,Series A,Remote,43,78,62.3,5.4,4.2,7.6,10.0,4.6,6.9,4.8,5.2,Moderate,0,-15.1,12.5,2.9,53.5,5.0,No,0.806,High,1
Visionary CEO,Stable Economy,37,10,ClimateTech,Series A,Hybrid,50,93,36.5,6.9,5.4,9.6,5.0,0.0,1.0,3.5,1.0,Low,0,22.6,18.0,10.0,11.3,8.9,No,0.009,Low,0
Visionary CEO,Funding Winter,36,3,AI,Bootstrapped,Remote,2,47,73.2,5.9,4.1,9.6,6.0,3.2,5.4,5.7,3.0,Low,0,-2.5,10.5,7.6,43.9,4.8,Yes,0.218,Low,0
Burned-Out Operator,Stable Economy,37,1,E-commerce,Series C,Remote,706,58,56.8,4.5,3.3,7.3,6.8,3.3,3.8,4.1,4.1,Moderate,0,-6.6,12.7,3.2,42.4,5.8,No,0.46,Medium,0
Technical Builder,Bull Market,35,3,SaaS,Bootstrapped,Hybrid,4,109,69.0,5.9,4.3,0.0,5.9,6.1,5.2,4.2,4.6,Moderate,0,21.1,8.0,6.8,41.5,4.9,No,0.597,Medium,0
Technical Builder,Stable Economy,34,0,Gaming,Series A,Remote,80,42,44.9,7.1,5.2,11.9,6.5,0.8,1.2,1.0,1.0,Low,0,22.5,11.1,6.0,16.0,9.7,No,0.039,Low,0
Burned-Out Operator,Funding Winter,34,2,ClimateTech,Pre-Seed,Hybrid,4,119,61.4,5.5,3.6,13.8,4.5,0.6,3.7,2.6,3.6,Moderate,0,-13.4,11.9,5.1,34.8,6.2,No,0.352,Medium,0
Solo Hustler,Bull Market,40,3,Cybersecurity,Pre-Seed,Remote,2,60,77.6,3.9,3.0,0.0,1.7,4.7,5.8,4.7,3.5,Low,0,17.5,7.4,5.0,42.9,6.1,No,0.325,Low,0
Growth Obsessed Founder,Stable Economy,37,3,Gaming,Series C,Hybrid,681,30,68.9,6.3,2.9,15.8,7.8,8.1,8.9,7.0,5.9,Moderate,0,-18.9,13.6,5.2,74.0,4.4,No,0.642,Medium,0
Burned-Out Operator,Recession,37,2,Gaming,Seed,Office,14,55,47.1,4.5,4.8,12.0,6.7,2.4,3.3,4.7,5.1,Moderate,0,-8.8,11.1,7.4,22.2,6.3,No,0.541,Medium,0
Chaotic Innovator,Funding Winter,29,1,AI,Seed,Remote,5,15,71.9,5.4,4.6,0.0,7.2,0.9,5.2,2.8,2.5,Low,0,3.1,8.6,6.1,46.6,7.3,No,0.255,Low,0
Serial Entrepreneur,Bull Market,35,5,AI,Seed,Office,18,56,47.5,5.2,5.9,13.4,4.7,2.2,2.2,1.0,2.8,Low,0,7.6,8.2,7.4,11.3,9.1,No,0.076,Low,0
Growth Obsessed Founder,Stable Economy,28,2,SaaS,Series B,Remote,191,12,80.4,5.7,1.6,5.0,6.1,7.5,8.8,7.7,5.8,Moderate,0,-5.2,7.6,4.6,79.3,4.2,No,0.904,High,1
Solo Hustler,Bull Market,32,1,AI,Series B,Hybrid,188,105,74.7,5.1,1.9,1.8,8.5,5.1,5.5,9.5,6.0,Moderate,0,19.5,7.5,3.9,37.7,3.3,Yes,0.689,High,1
Chaotic Innovator,Stable Economy,26,3,ClimateTech,Seed,Remote,24,4,51.3,5.6,6.1,10.7,4.7,4.6,5.4,6.9,5.6,Moderate,0,11.0,21.2,4.0,59.8,6.1,No,0.323,Low,0
Burned-Out Operator,Stable Economy,31,3,AI,Pre-Seed,Remote,7,49,49.1,5.3,5.4,10.7,5.4,0.0,1.0,2.6,1.0,Low,0,-5.3,15.5,9.0,27.7,10.0,No,0.014,Low,0
Technical Builder,Funding Winter,28,2,SaaS,Series C,Hybrid,573,14,81.7,4.8,4.3,10.3,8.1,9.1,8.9,8.4,7.5,Severe,1,16.4,21.4,7.1,67.7,1.0,No,0.736,High,1
Burned-Out Operator,Stable Economy,33,2,E-commerce,Series A,Hybrid,26,12,60.0,4.1,4.3,0.0,6.6,5.3,6.4,6.6,4.1,Moderate,0,5.4,2.3,7.0,43.9,5.8,No,0.384,Medium,0
Burned-Out Operator,Funding Winter,26,3,HealthTech,Bootstrapped,Hybrid,3,124,78.5,3.8,1.8,0.0,6.3,6.4,7.7,10.0,10.0,Severe,1,23.8,1.0,5.9,87.3,1.0,No,0.989,High,1
Serial Entrepreneur,Stable Economy,46,9,ClimateTech,Pre-Seed,Office,8,64,65.8,6.3,3.7,0.0,4.3,2.2,4.5,1.8,2.9,Low,0,-6.3,18.8,9.2,28.5,7.0,No,0.027,Low,0
Technical Builder,Stable Economy,40,0,E-commerce,Series A,Remote,29,91,55.4,7.1,4.7,6.7,6.1,1.7,2.0,3.3,1.0,Low,0,34.3,8.6,7.6,7.5,10.0,Yes,0.011,Low,0
Growth Obsessed Founder,Stable Economy,40,4,Gaming,Seed,Remote,22,81,55.2,6.1,6.2,5.3,8.8,3.0,3.8,1.0,1.9,Low,0,-15.6,12.8,2.3,28.8,9.4,No,0.194,Low,0
Serial Entrepreneur,Recession,31,3,E-commerce,Series A,Hybrid,48,134,72.2,6.1,0.7,13.6,10.0,0.7,7.1,7.3,4.0,Moderate,0,-3.0,6.4,4.0,18.9,6.6,No,0.298,Low,0
Calm Operator,Bull Market,26,1,AI,Bootstrapped,Remote,5,97,70.7,6.8,4.4,19.2,2.5,6.7,4.1,1.2,1.0,Low,0,31.4,12.8,5.6,28.7,6.9,No,0.157,Low,0
Solo Hustler,Recession,31,1,Cybersecurity,Seed,Hybrid,5,107,81.8,5.6,3.2,12.3,7.5,2.1,8.6,5.3,5.2,Moderate,0,6.0,7.0,4.6,24.4,3.9,No,0.517,Medium,0
Technical Builder,Bull Market,31,0,FinTech,Bootstrapped,Remote,4,32,83.2,6.2,2.9,0.0,4.5,6.5,10.0,5.1,3.8,Moderate,0,-5.6,15.9,2.0,36.3,6.6,No,0.311,Low,0
Technical Builder,Stable Economy,26,3,AI,Series A,Remote,54,56,63.2,5.2,2.5,6.2,5.3,2.2,5.6,3.7,3.3,Low,0,-12.9,26.5,4.6,43.1,7.5,Yes,0.045,Low,0
Visionary CEO,Stable Economy,39,2,Cybersecurity,Bootstrapped,Remote,2,139,59.5,6.1,2.7,9.1,3.5,3.9,4.0,3.3,1.0,Low,0,15.8,12.1,5.5,21.6,9.8,Yes,0.429,Medium,0
Technical Builder,Funding Winter,24,2,FinTech,Series A,Remote,77,92,70.3,6.0,2.6,14.9,9.1,6.2,7.4,7.6,5.6,Moderate,0,-0.5,18.3,5.7,52.1,5.3,No,0.546,Medium,0
Growth Obsessed Founder,Stable Economy,28,1,Biotech,Series B,Hybrid,213,31,68.5,5.3,2.4,9.8,5.4,5.2,6.8,8.0,5.7,Moderate,0,23.0,17.7,7.2,68.2,4.9,No,0.262,Low,0
Calm Operator,Funding Winter,26,0,Cybersecurity,Seed,Remote,14,36,56.1,5.9,4.2,17.6,8.1,0.0,1.8,1.0,1.3,Low,0,14.8,22.5,5.5,11.4,8.9,No,0.064,Low,0
Technical Builder,Funding Winter,39,4,Gaming,Series A,Remote,29,78,59.4,5.7,4.2,34.0,5.4,2.3,2.4,1.5,1.0,Low,0,-8.5,1.0,6.9,31.4,10.0,Yes,0.389,Medium,0
Technical Builder,Stable Economy,21,1,EdTech,Pre-Seed,Remote,8,24,57.3,7.0,3.7,22.1,4.2,1.6,4.5,1.0,1.0,Low,0,9.5,11.2,7.3,26.9,9.1,Yes,0.087,Low,0
Chaotic Innovator,Stable Economy,34,2,HealthTech,Series A,Remote,47,115,38.7,7.6,5.8,0.0,6.2,0.0,1.0,1.0,1.0,Low,0,11.8,4.7,3.8,4.5,9.5,No,0.359,Medium,0
Visionary CEO,Stable Economy,33,3,E-commerce,Series A,Remote,66,123,76.6,5.2,2.7,13.6,1.2,4.0,2.6,2.2,1.0,Low,0,5.3,16.2,5.0,20.5,6.5,No,0.057,Low,0
Serial Entrepreneur,Bull Market,28,6,HealthTech,Series A,Remote,84,112,70.0,5.2,3.2,1.0,4.3,3.8,5.7,4.7,3.6,Moderate,0,-3.9,3.3,5.6,25.8,6.2,No,0.423,Medium,0
Growth Obsessed Founder,Stable Economy,34,2,ClimateTech,Series C,Office,594,49,65.9,5.2,2.8,0.0,8.6,6.1,5.0,5.0,5.6,Moderate,0,44.9,1.0,8.2,37.2,4.0,No,0.856,High,1
Technical Builder,Recession,30,2,AI,Seed,Remote,21,73,54.9,7.3,4.7,15.1,6.2,3.1,3.5,2.5,1.1,Low,0,-17.1,5.5,1.0,23.3,10.0,No,0.867,High,1
Growth Obsessed Founder,Stable Economy,26,0,HealthTech,Seed,Remote,12,59,71.9,5.1,3.5,0.0,4.6,6.5,7.2,5.5,6.7,Severe,1,18.6,18.2,3.8,52.6,3.3,Yes,0.274,Low,0
Chaotic Innovator,Funding Winter,30,5,SaaS,Series B,Hybrid,100,24,62.4,5.2,4.1,7.3,8.0,4.9,7.8,6.3,4.5,Moderate,0,-6.4,13.2,4.0,57.1,6.1,No,0.199,Low,0
Technical Builder,Bull Market,32,0,E-commerce,Seed,Remote,28,98,46.7,5.3,5.0,6.7,4.7,3.8,2.0,3.3,1.6,Low,0,5.7,7.7,5.7,18.4,9.7,Yes,0.211,Low,0
Technical Builder,Stable Economy,40,2,FinTech,Pre-Seed,Hybrid,7,35,60.3,6.6,5.7,2.8,5.8,6.4,5.5,5.3,3.9,Moderate,0,10.7,8.9,4.9,58.3,7.1,Yes,0.534,Medium,0
Serial Entrepreneur,Stable Economy,43,8,SaaS,Series A,Hybrid,24,127,48.8,6.0,6.4,12.8,6.1,2.2,1.0,2.4,1.0,Low,0,15.6,6.8,6.2,15.4,10.0,No,0.105,Low,0
Technical Builder,Recession,33,1,E-commerce,Seed,Remote,21,58,73.6,6.8,2.6,4.3,2.8,3.4,3.3,1.0,1.0,Low,0,3.2,17.2,4.8,27.7,10.0,No,0.363,Medium,0
Visionary CEO,Funding Winter,27,1,Gaming,Series A,Remote,65,119,49.4,7.1,5.1,16.4,8.5,0.0,4.3,1.1,1.0,Low,0,1.8,1.0,6.8,12.4,9.9,No,0.476,Medium,0
Burned-Out Operator,Stable Economy,38,1,E-commerce,Pre-Seed,Remote,4,54,58.3,4.6,3.6,3.6,2.9,4.0,2.1,1.4,3.6,Moderate,0,25.1,7.5,7.3,25.5,5.1,No,0.616,Medium,0
Visionary CEO,Stable Economy,33,1,SaaS,Series B,Office,216,102,62.7,4.2,2.9,0.0,6.9,4.9,4.1,2.2,2.8,Low,0,14.6,13.8,7.0,40.2,6.9,No,0.526,Medium,0
Technical Builder,Bull Market,30,4,AI,Series A,Hybrid,55,53,56.1,7.2,3.1,3.3,5.9,2.1,3.8,2.5,1.5,Low,0,4.7,24.4,6.1,20.5,9.5,Yes,0.031,Low,0
Growth Obsessed Founder,Bull Market,33,1,SaaS,Series A,Remote,25,2,80.3,5.2,2.3,13.9,8.6,9.5,10.0,7.7,6.8,Severe,1,41.7,7.8,3.1,90.0,2.1,No,0.771,High,1
Calm Operator,Recession,35,0,SaaS,Pre-Seed,Office,6,23,47.1,7.5,5.7,6.5,3.2,2.6,1.0,2.3,1.0,Low,0,0.3,18.0,5.0,8.2,10.0,No,0.321,Low,0
Growth Obsessed Founder,Bull Market,35,1,ClimateTech,Pre-Seed,Hybrid,3,143,58.6,5.1,3.6,2.8,3.3,3.7,4.3,3.9,4.3,Moderate,0,12.5,6.6,4.4,49.2,7.8,No,0.728,High,1
Serial Entrepreneur,Bull Market,23,5,Cybersecurity,Series B,Hybrid,158,121,61.5,5.6,1.7,4.5,7.5,7.5,8.1,4.3,2.9,Low,0,7.0,16.0,1.4,45.2,7.5,No,0.571,Medium,0
Burned-Out Operator,Stable Economy,29,0,ClimateTech,Series A,Hybrid,53,74,54.2,5.9,4.4,12.4,7.0,2.5,1.6,1.5,2.0,Low,0,4.5,15.6,5.3,20.6,10.0,No,0.215,Low,0
Visionary CEO,Stable Economy,26,0,SaaS,Pre-Seed,Remote,6,78,40.0,5.8,6.1,13.5,3.8,3.7,2.0,1.2,1.0,Low,0,8.5,5.4,3.2,19.0,10.0,No,0.486,Medium,0
Technical Builder,Recession,33,2,HealthTech,Series A,Hybrid,57,77,51.1,7.0,1.0,3.8,9.0,4.5,6.6,6.4,4.7,Moderate,0,-1.6,14.6,9.9,32.2,5.1,No,0.42,Medium,0
Visionary CEO,Stable Economy,34,3,HealthTech,Pre-Seed,Remote,2,142,58.7,6.1,5.3,4.6,5.1,4.4,5.0,4.2,1.3,Low,0,2.0,14.2,5.6,17.7,8.8,Yes,0.235,Low,0
Solo Hustler,Recession,42,4,HealthTech,Series A,Hybrid,30,12,81.8,5.4,2.2,3.3,5.3,4.6,7.1,2.7,3.8,Moderate,0,-1.7,14.0,2.4,43.9,5.9,No,0.506,Medium,0
Technical Builder,Bull Market,33,2,Gaming,Bootstrapped,Remote,6,87,58.4,7.1,6.2,17.0,3.7,5.0,1.0,3.4,1.0,Low,0,21.4,10.2,4.6,39.0,10.0,Yes,0.201,Low,0
Burned-Out Operator,Bull Market,29,1,SaaS,Pre-Seed,Office,2,101,45.8,5.1,5.6,18.4,7.1,0.0,3.4,1.9,3.2,Low,0,-8.3,22.7,4.6,18.4,9.4,No,0.094,Low,0
Growth Obsessed Founder,Stable Economy,21,3,FinTech,Series A,Remote,21,29,72.5,5.5,3.0,5.0,7.1,6.9,7.2,5.8,3.3,Low,0,-2.0,13.7,1.1,57.2,5.6,No,0.726,High,1
Calm Operator,Bull Market,22,1,ClimateTech,Series B,Office,117,41,28.0,8.3,6.2,27.6,3.1,0.0,1.0,1.4,1.0,Low,0,2.3,15.7,8.3,13.4,10.0,No,0.069,Low,0
Serial Entrepreneur,Bull Market,39,5,SaaS,Pre-Seed,Hybrid,13,56,69.1,5.4,2.7,7.0,3.6,1.6,4.0,3.0,2.3,Low,0,15.7,6.4,5.8,5.5,7.6,No,0.342,Low,0
Solo Hustler,Stable Economy,29,0,EdTech,Seed,Remote,16,131,74.2,4.9,3.6,14.9,4.0,5.3,5.0,1.5,1.3,Low,0,5.9,19.1,6.0,36.7,7.1,No,0.186,Low,0
Solo Hustler,Stable Economy,52,4,SaaS,Series C,Remote,589,13,80.0,3.9,3.9,9.8,7.9,6.0,9.4,7.8,7.6,Severe,1,6.9,7.4,4.5,56.8,1.1,No,0.689,High,1
Chaotic Innovator,Bull Market,34,3,FinTech,Seed,Remote,5,107,58.5,6.0,3.8,7.5,3.6,4.5,3.2,2.7,1.9,Low,0,-2.0,17.4,4.5,18.7,10.0,No,0.063,Low,0
Solo Hustler,Stable Economy,34,0,SaaS,Bootstrapped,Remote,4,92,67.6,5.3,2.1,7.9,2.7,5.1,8.7,7.2,5.2,Moderate,0,17.2,3.7,1.0,36.7,4.7,No,0.918,High,1
Growth Obsessed Founder,Recession,36,2,FinTech,Seed,Hybrid,15,5,59.9,6.5,5.3,7.5,7.7,5.9,3.9,3.2,2.9,Low,0,-8.6,15.4,2.9,51.3,8.7,No,0.661,High,1
Visionary CEO,Funding Winter,30,1,Cybersecurity,Series B,Hybrid,152,60,65.5,5.5,2.7,11.1,5.8,4.2,6.9,8.0,5.9,Moderate,0,8.9,6.9,3.7,54.5,4.5,No,0.826,High,1
Solo Hustler,Stable Economy,29,0,SaaS,Series C,Office,240,131,65.1,4.9,3.8,8.0,4.3,0.9,3.8,4.3,2.5,Low,0,7.3,27.1,8.6,14.6,7.2,No,0.012,Low,0
Calm Operator,Stable Economy,36,2,E-commerce,Seed,Hybrid,10,28,57.7,5.8,5.0,16.2,5.0,1.5,3.8,4.2,1.0,Low,0,-4.1,12.5,5.9,12.6,9.5,No,0.07,Low,0
Visionary CEO,Funding Winter,42,3,AI,Series A,Office,75,139,64.4,5.9,3.6,13.7,8.5,2.5,5.7,2.6,2.0,Low,0,-12.3,6.7,4.8,21.2,9.2,No,0.318,Low,0
Serial Entrepreneur,Recession,44,6,Cybersecurity,Pre-Seed,Remote,5,90,46.6,5.8,5.5,0.0,8.9,0.0,2.4,4.1,7.1,Severe,1,-10.0,14.1,3.6,41.2,5.7,Yes,0.794,High,1
Growth Obsessed Founder,Stable Economy,44,5,SaaS,Series B,Hybrid,173,91,92.3,5.2,0.6,3.0,5.6,9.1,9.7,10.0,7.5,Severe,1,36.8,14.9,6.7,71.0,1.3,Yes,0.713,High,1
Serial Entrepreneur,Bull Market,48,6,AI,Pre-Seed,Office,2,55,69.7,5.8,2.9,7.8,6.3,4.2,4.6,4.0,2.1,Low,0,23.8,13.3,8.4,32.4,8.6,No,0.079,Low,0
Growth Obsessed Founder,Funding Winter,38,3,HealthTech,Seed,Remote,9,108,89.5,4.2,2.2,0.0,7.3,6.0,10.0,7.6,4.1,Moderate,0,10.7,20.2,6.4,34.1,4.5,Yes,0.782,High,1
Visionary CEO,Funding Winter,38,4,ClimateTech,Series A,Remote,70,110,60.2,6.6,2.8,10.5,4.3,3.5,6.4,5.7,3.7,Moderate,0,-27.0,8.6,5.5,46.4,6.7,No,0.342,Low,0
Visionary CEO,Stable Economy,33,4,ClimateTech,Pre-Seed,Hybrid,10,36,59.3,6.3,2.4,3.2,5.1,6.6,4.7,1.0,1.3,Low,0,-10.4,13.9,7.2,17.2,8.1,No,0.195,Low,0
Growth Obsessed Founder,Bull Market,32,2,EdTech,Series C,Hybrid,243,85,75.8,5.7,1.8,7.5,9.1,7.5,8.6,4.6,5.5,Moderate,0,-1.0,8.9,4.9,69.2,2.9,No,0.789,High,1
Chaotic Innovator,Stable Economy,39,2,E-commerce,Pre-Seed,Office,10,107,39.1,7.2,5.2,3.7,2.3,0.7,1.0,1.0,1.0,Low,0,10.1,12.6,3.3,19.3,9.8,No,0.089,Low,0
Burned-Out Operator,Bull Market,43,7,FinTech,Seed,Remote,8,27,81.0,4.7,4.5,9.2,4.3,4.4,9.1,10.0,6.6,Severe,1,29.6,13.6,10.0,47.0,2.0,Yes,0.156,Low,0
Technical Builder,Stable Economy,30,0,SaaS,Series C,Remote,762,102,64.4,4.8,3.5,4.2,5.2,4.2,5.4,2.6,1.0,Low,0,-9.4,21.2,4.3,29.7,7.6,Yes,0.353,Medium,0
Solo Hustler,Recession,39,1,EdTech,Series B,Remote,83,37,78.0,4.8,2.9,7.5,10.0,0.5,7.2,4.2,3.2,Low,0,8.9,20.9,8.5,4.3,5.8,Yes,0.199,Low,0
Growth Obsessed Founder,Recession,28,2,Gaming,Seed,Remote,12,37,89.2,4.7,1.4,15.3,7.1,3.5,8.2,4.1,5.1,Moderate,0,0.9,3.7,8.8,45.2,3.9,Yes,0.591,Medium,0
Serial Entrepreneur,Stable Economy,41,11,Gaming,Seed,Remote,13,50,81.2,4.0,2.3,10.1,3.9,7.4,8.6,4.5,4.4,Moderate,0,2.5,2.9,8.1,49.8,5.0,No,0.238,Low,0
Burned-Out Operator,Bull Market,29,3,Cybersecurity,Series A,Office,75,92,58.2,5.4,3.3,1.9,4.4,3.8,4.8,4.2,2.3,Low,0,17.3,10.5,6.2,24.4,6.4,Yes,0.126,Low,0
Technical Builder,Stable Economy,33,2,Gaming,Bootstrapped,Hybrid,4,122,84.5,5.4,3.7,12.1,7.3,5.9,9.5,9.4,4.4,Moderate,0,-15.2,12.9,3.8,52.2,5.3,Yes,0.55,Medium,0
Technical Builder,Funding Winter,41,4,Cybersecurity,Series A,Hybrid,42,93,81.8,4.6,3.8,3.4,9.2,7.2,8.7,10.0,7.6,Severe,1,8.1,10.0,2.7,71.1,3.3,Yes,0.77,High,1
Serial Entrepreneur,Stable Economy,32,5,HealthTech,Seed,Office,24,50,66.2,6.2,3.4,7.4,3.9,3.7,3.2,1.0,2.3,Low,0,3.3,16.1,9.1,37.2,7.8,No,0.065,Low,0
Serial Entrepreneur,Bull Market,36,7,AI,Pre-Seed,Remote,3,133,50.5,5.8,4.7,5.9,6.9,4.6,4.9,5.5,4.3,Moderate,0,-15.8,13.7,2.4,34.2,7.0,No,0.211,Low,0
Solo Hustler,Bull Market,26,2,ClimateTech,Bootstrapped,Remote,3,74,98.2,3.7,2.0,13.6,6.6,4.7,10.0,10.0,4.8,Moderate,0,-2.1,4.1,1.0,33.1,2.8,No,0.955,High,1
Serial Entrepreneur,Stable Economy,22,7,AI,Pre-Seed,Hybrid,11,65,64.0,6.0,5.2,0.0,3.2,3.7,2.7,4.4,1.0,Low,0,10.9,17.9,6.7,22.4,10.0,Yes,0.018,Low,0
Solo Hustler,Recession,30,2,FinTech,Series A,Remote,21,60,71.2,5.9,3.7,4.9,10.0,6.8,6.8,5.1,5.0,Moderate,0,-1.4,1.0,1.6,38.3,5.0,No,0.949,High,1
Visionary CEO,Stable Economy,36,0,HealthTech,Bootstrapped,Hybrid,1,66,71.8,3.5,4.9,5.6,7.1,7.4,6.4,5.5,5.1,Moderate,0,-2.8,1.0,2.3,65.3,4.1,No,0.907,High,1
Growth Obsessed Founder,Bull Market,36,0,SaaS,Bootstrapped,Hybrid,3,13,89.6,4.7,2.5,15.4,6.9,5.3,6.2,2.9,1.0,Low,0,-0.7,16.9,4.0,11.0,8.5,No,0.063,Low,0
Growth Obsessed Founder,Stable Economy,44,7,Gaming,Seed,Remote,16,137,54.1,5.3,5.3,22.6,6.7,7.6,5.4,1.6,1.5,Low,0,1.9,15.5,6.6,35.2,8.8,No,0.195,Low,0
Chaotic Innovator,Recession,29,5,FinTech,Bootstrapped,Hybrid,2,69,75.9,4.7,3.0,10.8,6.2,6.7,6.8,6.5,5.9,Moderate,0,-8.3,8.3,5.2,44.6,3.9,Yes,0.754,High,1
Solo Hustler,Stable Economy,33,3,Cybersecurity,Seed,Hybrid,25,20,98.2,5.2,2.5,0.0,2.7,3.9,9.2,6.9,6.2,Moderate,0,-13.2,10.5,5.8,42.8,4.1,Yes,0.273,Low,0
Visionary CEO,Bull Market,26,2,FinTech,Series B,Remote,118,131,60.8,5.3,4.2,10.9,6.2,4.5,3.8,1.6,1.6,Low,0,5.4,24.8,8.2,28.2,7.5,No,0.012,Low,0
Solo Hustler,Bull Market,27,1,HealthTech,Seed,Remote,24,105,68.7,5.5,3.4,4.1,6.3,3.2,6.6,3.5,1.9,Low,0,31.0,18.6,6.9,34.8,9.3,No,0.264,Low,0
Serial Entrepreneur,Funding Winter,32,3,ClimateTech,Series A,Hybrid,74,105,54.6,5.8,5.3,15.4,5.7,0.0,2.9,2.8,1.0,Low,0,10.6,17.6,8.5,15.4,9.0,No,0.134,Low,0
Serial Entrepreneur,Funding Winter,34,6,AI,Seed,Remote,5,21,63.4,5.5,4.2,5.1,6.2,3.8,4.5,4.7,3.5,Low,0,3.2,14.5,6.6,29.1,7.9,Yes,0.225,Low,0
Serial Entrepreneur,Recession,38,4,FinTech,Series C,Hybrid,389,52,47.7,6.4,4.3,0.0,9.7,2.3,2.4,5.9,1.0,Low,0,1.8,18.5,7.5,14.4,9.2,No,0.021,Low,0
Growth Obsessed Founder,Stable Economy,32,2,AI,Series B,Remote,209,27,63.8,5.5,3.8,14.3,3.6,3.9,3.4,2.7,1.9,Low,0,1.8,9.5,5.4,13.5,8.0,No,0.328,Low,0
Solo Hustler,Bull Market,44,3,Cybersecurity,Seed,Hybrid,7,44,66.3,5.7,1.7,0.0,4.4,6.8,4.8,5.4,1.0,Low,0,-7.9,17.4,5.9,31.4,9.9,No,0.053,Low,0
